Datetime,Water Level (m)
2024-10-20 06:00:00,1.2429693
2024-10-20 07:00:00,0.7966495
2024-10-20 08:00:00,0.16841178
2024-10-20 09:00:00,-0.5035906
2024-10-20 10:00:00,-0.9688048
2024-10-20 11:00:00,-1.2288605
2024-10-20 12:00:00,-1.2235249
2024-10-20 13:00:00,-0.86114055
2024-10-20 14:00:00,-0.15646622
2024-10-20 15:00:00,0.6108264
2024-10-20 16:00:00,1.2330341
2024-10-20 17:00:00,1.5450002
2024-10-20 18:00:00,1.5720268
2024-10-20 19:00:00,1.2746476
2024-10-20 20:00:00,0.70150334
2024-10-20 21:00:00,0.051163506
2024-10-20 22:00:00,-0.5075837
2024-10-20 23:00:00,-0.8550886
2024-10-21 00:00:00,-1.0201937
2024-10-21 01:00:00,-0.88719136
2024-10-21 02:00:00,-0.42142898
2024-10-21 03:00:00,0.14218281
2024-10-21 04:00:00,0.72299695
2024-10-21 05:00:00,1.0475736
2024-10-21 06:00:00,1.1183763
2024-10-21 07:00:00,0.93693763
2024-10-21 08:00:00,0.51177484
2024-10-21 09:00:00,-0.037900604
2024-10-21 10:00:00,-0.5560821
2024-10-21 11:00:00,-0.88103014
2024-10-21 12:00:00,-1.0424819
2024-10-21 13:00:00,-0.9403405
2024-10-21 14:00:00,-0.47744277
2024-10-21 15:00:00,0.11845137
2024-10-21 16:00:00,0.77292305
2024-10-21 17:00:00,1.1987582
2024-10-21 18:00:00,1.3976972
2024-10-21 19:00:00,1.3402656
2024-10-21 20:00:00,0.99594784
2024-10-21 21:00:00,0.49253017
2024-10-21 22:00:00,-0.0242485
2024-10-21 23:00:00,-0.4539189
2024-10-22 00:00:00,-0.7031502
2024-10-22 01:00:00,-0.73969686
2024-10-22 02:00:00,-0.5716013
2024-10-22 03:00:00,-0.22180517
2024-10-22 04:00:00,0.27670684
2024-10-22 05:00:00,0.6878776
2024-10-22 06:00:00,0.8680487
2024-10-22 07:00:00,0.89021635
2024-10-22 08:00:00,0.70147425
2024-10-22 09:00:00,0.33615404
2024-10-22 10:00:00,-0.10043792
2024-10-22 11:00:00,-0.4659514
2024-10-22 12:00:00,-0.66056
2024-10-22 13:00:00,-0.71127367
2024-10-22 14:00:00,-0.56120545
2024-10-22 15:00:00,-0.19113904
2024-10-22 16:00:00,0.31709895
2024-10-22 17:00:00,0.7989738
2024-10-22 18:00:00,1.1039225
2024-10-22 19:00:00,1.2049339
2024-10-22 20:00:00,1.100955
2024-10-22 21:00:00,0.79031426
2024-10-22 22:00:00,0.39528745
2024-10-22 23:00:00,0.027563386
2024-10-23 00:00:00,-0.28614825
2024-10-23 01:00:00,-0.43749326
2024-10-23 02:00:00,-0.4343376
2024-10-23 03:00:00,-0.30800164
2024-10-23 04:00:00,-0.0021805027
2024-10-23 05:00:00,0.3523047
2024-10-23 06:00:00,0.60229325
2024-10-23 07:00:00,0.7452871
2024-10-23 08:00:00,0.7580901
2024-10-23 09:00:00,0.5963977
2024-10-23 10:00:00,0.33273426
2024-10-23 11:00:00,0.08041736
2024-10-23 12:00:00,-0.16659085
2024-10-23 13:00:00,-0.31907803
2024-10-23 14:00:00,-0.26259062
2024-10-23 15:00:00,-0.09128696
2024-10-23 16:00:00,0.18803835
2024-10-23 17:00:00,0.5806623
2024-10-23 18:00:00,0.9080795
2024-10-23 19:00:00,1.103398
2024-10-23 20:00:00,1.1577488
2024-10-23 21:00:00,1.0684798
2024-10-23 22:00:00,0.8715474
2024-10-23 23:00:00,0.586846
2024-10-24 00:00:00,0.332554
2024-10-24 01:00:00,0.12033628
2024-10-24 02:00:00,-0.056700055
2024-10-24 03:00:00,-0.15088923
2024-10-24 04:00:00,-0.108925246
2024-10-24 05:00:00,0.024071595
2024-10-24 06:00:00,0.15472817
2024-10-24 07:00:00,0.32903403
2024-10-24 08:00:00,0.45362398
2024-10-24 09:00:00,0.42519316
2024-10-24 10:00:00,0.35015944
2024-10-24 11:00:00,0.1954142
2024-10-24 12:00:00,0.0053749895
2024-10-24 13:00:00,-0.23316713
2024-10-24 14:00:00,-0.3718219
2024-10-24 15:00:00,-0.38325754
2024-10-24 16:00:00,-0.34060803
2024-10-24 17:00:00,-0.20480554
2024-10-24 18:00:00,0.03878449
2024-10-24 19:00:00,0.2703177
2024-10-24 20:00:00,0.4595389
2024-10-24 21:00:00,0.5944437
2024-10-24 22:00:00,0.64257145
2024-10-24 23:00:00,0.5476721
2024-10-25 00:00:00,0.37122607
2024-10-25 01:00:00,0.16451804
2024-10-25 02:00:00,-0.05984369
2024-10-25 03:00:00,-0.25448695
2024-10-25 04:00:00,-0.36350918
2024-10-25 05:00:00,-0.37648287
2024-10-25 06:00:00,-0.30119345
2024-10-25 07:00:00,-0.13638009
2024-10-25 08:00:00,0.08804398
2024-10-25 09:00:00,0.2889095
2024-10-25 10:00:00,0.41509372
2024-10-25 11:00:00,0.4582263
2024-10-25 12:00:00,0.3904086
2024-10-25 13:00:00,0.23450829
2024-10-25 14:00:00,0.049279973
2024-10-25 15:00:00,-0.114714086
2024-10-25 16:00:00,-0.22258435
2024-10-25 17:00:00,-0.2530307
2024-10-25 18:00:00,-0.177709
2024-10-25 19:00:00,-0.00018091431
2024-10-25 20:00:00,0.22320685
2024-10-25 21:00:00,0.45206758
2024-10-25 22:00:00,0.6286749
2024-10-25 23:00:00,0.69743145
2024-10-26 00:00:00,0.64832073
2024-10-26 01:00:00,0.49747875
2024-10-26 02:00:00,0.25488916
2024-10-26 03:00:00,-0.010950112
2024-10-26 04:00:00,-0.22992618
2024-10-26 05:00:00,-0.3773488
2024-10-26 06:00:00,-0.44062793
